Irvine Farmers Market,food,outdoors,$-$$$,8-12,5001 Newport Coast Dr| Irvine| CA 92603,33.63178375|-117.8337405806187,0
Irvine Spectrum Center,food,shopping,$$$,10-21,670 Spectrum Center Dr| Irvine| CA 92618,33.6495698|-117.7413887,1
Crystal Cove State Park,outdoors,group,$,6-22,Pacific Coast Highway in Newport Coast| CA 92657,33.783016|-118.132633,2
Great Park Ice & Fivepoint Arena,group,indoors,$$,6-23,888 Ridge Valley| Irvine| CA 92618,33.67768725|-117.74515005467762,3
UCI Langson IMCA,indoors,group,$,10-16,18881 Von Karman Avenue Suite 100| Irvine| CA 92612,33.6713162|-117.8582164,4
BCD Tofu House,food,group,$$$,8-3,2700 Alton Pkwy #135| Irvine| CA 92606,33.6884772|-117.8339077,5
Haidilao Hot Pot Irvine,food,group,$$,10-0,2710 Alton Pkwy #215| Irvine| CA 92606,33.6874998|-117.833896,6
Great Park,outdoors,group,$,10-20,8000 Great Park Blvd| Irvine| CA 92618,33.6798932|-117.7395652,7
Seaside Donuts Bakery,food,none,$$,0-0,2108 W Oceanfront| Newport Beach| CA 92663,33.6277561|-117.9528534,8
Round1 Amusement Center,indoors,group,$$-$$$,10-2,2800 N Main St| Santa Ana| CA 92705,33.775379|-117.870882,9
Lyon Air Museum,indoors,group,$$,10-16,19300 Ike Jones Rd| Santa Ana| CA 92707,33.674231|-117.872795,10
Cooper's eSports Gaming Center,group,gaming,$$,11-2,2700 Alton Pkwy #237| Irvine| CA 92606,33.6884772|-117.8339077,11
Dave & Buster's Irvine,indoors,gaming,$$-$$$,11-1,661 Spectrum Center Dr| Irvine| CA 92618,33.6508108|-117.7436955,12
Irvine Barclay Theatre,indoors,none,$-$$,10-18,4242 Campus Dr| Irvine| CA 92612,33.6492129|-117.8407435,13
William R Mason Regional Park,group,outdoors,$,7-21,18712 University Dr| Irvine| CA 92612,33.65392935|-117.82844606470587,14
IRWD San Joaquin Marsh & Wildlife Sanctuary,group,outdoors,$,0-0,5 Riparian View| Irvine| CA 92612,33.660808200000005|-117.84118558769117,15
Boomers Irvine,outdoors,group,$-$$$,10-20,3405 Michelson Dr| Irvine| CA 92612,33.6714969|-117.8347148,16
Fashion Island,food,shopping,$$$,10-20,401 Newport Center Dr| Newport Beach| CA 92660,33.6163106|-117.8748784,17
MainPlace Mall,food,shopping,$$,11-20,2800 N Main St| Santa Ana| CA 92705,33.775379|-117.870882,18
South Coast Plaza,food,shopping,$$$$,10-20,3333 Bristol St| Costa Mesa| CA 92626,33.6907869|-117.8874368,19
Quail Hill Park and Trail,outdoors,group,$,6-22,34 Shady Canyon Dr. Irvine| CA 92603,33.6536378|-117.7836036,20
Wild Rivers Waterpark,outdoors,group,$$$,10-19,10000 Great Park Blvd Irvine| CA 92618,33.6672822|-117.73086627597799,21
The Market Place,food,shopping,$$,10-21,2961 El Camino Real| Tustin| CA 92782,33.7244724|-117.7925844,22
The Escape Game,gaming,indoors,24,8-20,655 Spectrum Center Dr| Irvine| CA 92618,33.650829|-117.7443135,23
Maxwell Sim Racing,gaming,indoors,$$$,12-20,17175 Von Karman Ave suite 108| Irvine| CA 92614,33.69240415|-117.84211869178873,24
Din Tain Fung,food,group,$$$$,10-20,3333 Bristol St| Costa Mesa| CA 92626,33.6907869|-117.8874368,25
Tanaka Farms,outdoors,group,$-$$,9-17,5380 3/4 University Dr| Irvine| CA 92612,33.6571915|-117.8216498,26
Orange County Zoo,outdoors,group,$$,10-15,1 Irvine Park Rd| Orange| CA 92869,33.796711|-117.756889,27
Bowers Museum,indoors,none,$$,10-16,2002 N Main St| Santa Ana| CA 92706,33.763031|-117.868067,28
Jeffrey Open Space Trail,outdoors,group,$,8-17,13252 Jeffrey Rd. Irvine| CA 92620,33.7037606|-117.7547823,29
K1 Speed Irvine,indoors,group,$$-$$$,10-0,17221 Von Karman Ave| Irvine| CA 92614,33.69149955|-117.84226933886481,30
University Town Center,food,outdoors,$-$$,7-0,4100 - 4255 Campus Dr. Irvine| CA 92612,33.649741|-117.838918,31
Segerstrom Center for the Arts,music,indoors,$$-$$$$,12-17,600 Town Center Dr| Costa Mesa,33.692388|-117.881582,32
